iso,year,country,capacity_pre5,dem,log_gdp0,growth10,cap_z
DZA,1990,Algeria,-0.053515999019145964,0.0,7.513569355010986,-0.21140575408935547,-0.3214184994221079
DZA,2000,Algeria,-0.2617599993944168,0.0,7.492428779602051,2.1822166442871094,-0.5419052037540968
ECU,1970,Ecuador,-0.2013399988412857,0.0,6.833451747894287,3.873000144958496,-0.4779331000022962
ECU,1980,Ecuador,-0.17840399742126464,1.0,7.220751762390137,-0.51239013671875,-0.45364868674409414
ECU,1990,Ecuador,0.39372000098228455,1.0,7.169512748718262,-0.06075859069824219,0.1521105891530017
ECU,2000,Ecuador,0.2880299981683493,1.0,7.1634368896484375,2.9129505157470703,0.04020705119133617
EGY,1970,Egypt,-0.5257200002670288,0.0,6.338552474975586,4.144201278686523,-0.8213834627339045
EGY,1980,Egypt,-0.2870999962091446,0.0,6.752972602844238,2.977433204650879,-0.5687349437484976
EGY,1990,Egypt,-0.06532000079751014,0.0,7.050715923309326,2.4626970291137695,-0.3339164606855793
EGY,2000,Egypt,-0.12133399844169616,0.0,7.296985626220703,2.9161739349365234,-0.39322353178856495
ERI,2000,Eritrea,0.20412000119686127,0.0,5.1518874168396,-2.706308364868164,-0.04863603028717146
ESP,1970,Spain,0.6248999953269958,0.0,8.829750061035156,2.5432395935058594,0.39688169885459096
ESP,1980,Spain,0.9195399880409241,1.0,9.084074020385742,2.5219058990478516,0.7088436321675557
ESP,1990,Spain,1.5321999788284302,1.0,9.336264610290527,2.4024105072021484,1.3575220190664523
ESP,2000,Spain,1.8444000005722045,1.0,9.576505661010742,0.6961917877197266,1.6880763388193032
EST,2000,Estonia,1.4305999994277954,1.0,8.329506874084473,4.089946746826172,1.2499489577639662
ETH,1990,Ethiopia,-0.4017400026321411,0.0,4.859602451324463,-0.3345060348510742,-0.690114657715067
ETH,2000,Ethiopia,-0.14445600286126137,1.0,4.8261518478393555,5.715184211730957,-0.41770488319764504
FIN,1970,Finland,1.5353999853134155,1.0,9.306328773498535,3.340311050415039,1.3609101545346718
