iso,country,region,transition_year,baseline_year,five_nondem_years,first_eligible_transition,capacity_pre5,capacity_posterior_sd_pre5,administration_pre5,capacity_world_percentile,capacity_above_world_median,log_gdp0_ddcg,log_gdp0_mpd,pre_growth10_ddcg,pre_growth10_mpd,growth10_ddcg,growth20_ddcg,growth10_mpd,growth20_mpd,mortality_change10,negative_growth_years10_mpd,main_eligible,main_exclusion_reason,cap_z,admin_z,t_center,log_gdp0_wdi,pre_growth10_wdi,growth10_wdi,growth20_wdi
MEX,Mexico,LAC,1997,1996,True,True,0.6866400003433227,0.3415949761867523,-0.2113999999999999,68.75,1.0,8.516060829162598,9.248262080332044,0.5878543853759766,1.123220309321109,2.1816539764404297,,3.188823060457029,2.376020279722404,-10.899999618530272,1.0,True,,1.1980222861726642,0.3758724537032296,12,9.026496011129996,0.7575415187360335,1.6505168364906275,0.9692220263685147
MLI,Mali,AFR,1992,1991,True,True,-0.7642200112342834,0.3537876784801483,-0.0212,14.388489208633093,0.0,5.23075008392334,7.078980230640847,-0.6029033660888672,0.6596444100121701,2.2158384323120117,,0.9823396285394193,1.1712007822472703,-15.20000457763672,5.0,True,,-0.8938320856177887,0.5480124210546937,7,6.479067215686789,-0.24809995493493275,1.6336788062926555,1.1414140746440937
MNG,Mongolia,EAP,1993,1992,True,True,0.4742200076580047,0.3589242815971374,0.8228,69.34306569343066,1.0,6.038744926452637,7.518070951274408,-0.7064342498779297,0.1478132059932679,1.7296123504638672,,6.140320817683058,8.70196347941751,-27.900001525878903,0.0,True,,0.8917544954770555,1.311872213087479,8,7.288022006039152,-0.3026661914469919,1.389158915746096,4.095725909858321
MOZ,Mozambique,AFR,1994,1993,True,True,-0.8751999974250794,0.3519375324249267,-0.8356000000000001,10.218978102189782,0.0,5.203793525695801,7.27190501013886,1.5290403366088867,-1.6294286507313949,4.243168830871582,,-2.1944031330747205,-1.802139854152287,-49.79999542236328,7.0,True,,-1.0538433668178446,-0.1890579754281265,9,5.400984869141129,1.2980411907147982,4.754087165093779,4.629345514989316
MWI,Malawi,AFR,1994,1993,True,True,-0.4710399985313415,0.352703320980072,-0.691,21.897810218978105,0.0,4.95099401473999,6.763611420409278,-0.5517959594726562,-0.5312446018568995,0.3511476516723633,,0.4520209562156552,1.2546843066661717,-47.80000305175781,5.0,True,,-0.4711242527460542,-0.0581881579779596,9,5.894212720874933,-0.663939047357891,0.902897641201168,1.8493326967025545
NER,Niger,AFR,1991,1990,True,True,-0.109616661677137,0.354615318775177,1.1136,43.35664335664335,0.0,5.2652668952941895,6.77078942390898,-2.9343223571777344,-3.923829669376629,-1.6145133972167969,-0.3592348098754883,-2.2921621352097077,-0.367805278633484,-36.19999694824219,7.0,True,,0.0499770121812688,1.5750599234229457,6,6.144022293611428,-3.0461343230627413,-1.7047068718290692,-0.27398959641092624
NGA,Nigeria,AFR,1979,1978,True,True,-0.1280939988791942,0.3751539826393127,-1.9152,47.76119402985074,0.0,5.983143329620361,7.614805364711073,5.327105522155762,5.990929442238437,-1.9868755340576172,-0.4059338569641113,-1.960244819602792,-0.0052667724478228,-7.200004577636719,7.0,True,,0.0233363312770227,-1.1661468752842814,-6,7.641349727428779,5.360286980826974,-3.543423712651786,-1.9170908939874962
NIC,Nicaragua,LAC,1990,1989,True,True,-0.2583399966359138,0.350510162115097,-0.4009999999999999,36.36363636363637,0.0,6.5519561767578125,7.780303087908373,-3.3667421340942383,-3.526971306752395,0.7746315002441406,1.2175297737121582,1.3837177988479787,2.2752175888179904,-18.099998474121097,4.0,True,,-0.1644527439207602,0.2042755146399404,5,7.1634386615873,-3.418083817658308,0.9519761957156536,1.2427637592984242
NPL,Nepal,SAS,1991,1990,True,True,-0.5718599915504455,0.3786511242389679,-0.7528,20.97902097902098,0.0,5.175734043121338,7.181591944611865,2.2470903396606445,2.184019587416275,2.4111509323120117,2.0811057090759277,2.4301813314254073,2.4634428246401363,-38.0,0.0,True,,-0.6164868249294111,-0.1141200716599811,6,6.046721230998301,2.3492422866997487,2.581316621147147,2.671428453729656
PAK,Pakistan,SAS,1972,1971,True,True,0.0465324003016576,0.3957140803337097,0.5466,61.111111111111114,1.0,5.651024341583252,7.302496423727326,3.8323545455932617,3.3082781900153613,2.18414306640625,2.392125129699707,2.596652074983261,2.888844652531568,-16.800003051757812,1.0,True,,0.2751132040569713,1.0618981910976029,-13,6.425350905348685,3.6759677071551877,2.0183281002257747,2.2417683422974655
