iso,country,region,transition_year,baseline_year,five_nondem_years,first_eligible_transition,capacity_pre5,capacity_posterior_sd_pre5,administration_pre5,capacity_world_percentile,capacity_above_world_median,log_gdp0_ddcg,log_gdp0_mpd,pre_growth10_ddcg,pre_growth10_mpd,growth10_ddcg,growth20_ddcg,growth10_mpd,growth20_mpd,mortality_change10,negative_growth_years10_mpd,main_eligible,main_exclusion_reason,cap_z,admin_z,t_center
CPV,Cape Verde,AFR,1991,1990,True,True,0.2365400016307831,0.3992397964000702,2.0004,58.04195804195804,1.0,6.690188407897949,7.583247524303362,,3.7390726770045206,4.272260665893555,4.452159404754639,6.008719581672128,5.609357588987667,-16.5,0.0,True,,0.5490667408158747,2.377655733345545,6
CYP,Cyprus,INL,1974,1973,True,True,-0.39950000047683715,0.4000694572925568,-0.166,37.2093023255814,0.0,,8.976262255609193,,5.8168877774086525,,,2.870500011330961,3.6558207010898074,,2.0,False,missing ten-year DDCG GDP endpoint,-0.36797766624287337,0.4169615941751353,-11
CZE,Czech Republic,ECA,1993,1992,True,True,,,,,,8.457905769348145,9.458015092262515,,0.5631083550814964,2.0818519592285156,,3.6377569021348855,3.6312878542826255,-6.400000095367432,0.0,False,predecessor/successor boundary mismatch: Czechoslovakia/Czech Republic,,,8
DJI,Djibouti,MNA,1999,1998,True,True,0.1999400019645691,0.38952285051345825,-0.064,48.148148148148145,0.0,6.659045219421387,7.588103742504318,,-2.949656088014354,1.083970069885254,,2.212122799413798,2.5801534020940142,-13.5,4.0,True,,0.49629675012183894,0.5092764031648795,14
DOM,Dominican Republic,LAC,1978,1977,True,True,-0.5721799969673157,0.35919550657272337,-1.074,24.81203007518797,0.0,7.43330192565918,8.184792654165078,5.52546501159668,4.835924733076311,1.4332103729248047,1.808009147644043,0.7802428350585089,2.243703704096429,-18.599998474121094,4.0,True,,-0.6169482097114953,-0.40482121526297954,-7
ECU,Ecuador,LAC,1979,1978,True,True,-0.26107999980449675,0.36106808185577394,-1.5408,39.55223880597015,0.0,7.182284355163574,8.750524669117937,4.159188270568848,3.9256170327225526,-0.023179054260253906,0.2514791488647461,0.06787177818472045,0.7304329592992342,-26.0,3.0,True,,-0.16840328881219152,-0.8272972234631027,-6
ESP,Spain,INL,1978,1977,True,True,0.719979989528656,0.36295520663261416,0.4022,75.93984962406014,1.0,9.076255798339844,9.498163344917659,4.0325164794921875,4.854115551091471,1.3173103332519531,1.889796257019043,1.991044552620309,2.750068874778213,-9.200000762939453,1.0,True,,1.2460919838528357,0.9312093830768279,-7
EST,Estonia,ECA,1992,1991,True,True,,,,,,8.170159339904785,9.638912111791125,0.23232460021972656,-0.08262828039280024,2.450075149536133,,1.4221626958210898,1.7987462380729902,-7.800000190734863,4.0,False,incomplete pre-transition capacity,,,7
ETH,Ethiopia,AFR,1995,1994,True,True,-0.5176400005817413,0.3433063983917236,-0.2556,18.571428571428573,0.0,4.715407371520996,6.595440195678556,-2.070789337158203,-2.6731771737284493,2.10233211517334,,0.5285136309593153,3.551875361959538,-34.80000305175781,3.0,True,,-0.5383122772533785,0.3358693698076738,10
FJI,Fiji,EAP,1990,1989,False,False,0.38133999407291413,0.38894968032836913,0.44519999999999993,64.33566433566433,1.0,7.462916851043701,,-0.8910179138183594,,1.9774436950683594,1.264646053314209,,,-5.200000762939453,,False,no five consecutive observed pre-transition non-democratic years,0.757839809759952,0.9701264103960336,5
